source,rg_ratio,lab_a,mean_r,mean_g,mean_b,label
tongue,1.36492,142.612927,139.7241,102.3679,98.7194,1
tongue,1.36118,142.708193,138.9488,102.0796,100.8109,1
tongue,1.353483,144.004442,157.0422,116.0282,114.5545,1
tongue,1.386738,144.289815,148.7738,107.2833,104.8717,1
tongue,1.344973,141.852965,138.4505,102.9393,99.5673,1
tongue,1.297514,140.909347,150.9558,116.3423,111.4253,1
tongue,1.377551,143.473079,144.3385,104.779,101.5912,1
tongue,1.294207,140.35472,151.5182,117.0742,109.1383,1
tongue,1.403477,144.238566,145.5877,103.7336,99.0729,1
tongue,1.330772,142.112374,147.8347,111.0894,107.7239,1
tongue,1.390741,143.988899,143.4381,103.1379,101.0632,1
tongue,1.365515,142.27026,131.5756,96.356,95.7064,1
tongue,1.378983,143.57236,140.0714,101.5759,101.0959,1
tongue,1.343554,143.051805,147.0402,109.4412,109.8388,1
tongue,1.356116,142.737367,142.1685,104.8351,102.8074,1
tongue,1.285897,139.748873,146.2616,113.7428,106.4713,1
tongue,1.339955,142.313906,144.1789,107.5998,105.3889,1
tongue,1.343151,143.02085,154.3608,114.9244,111.114,1
tongue,1.343912,142.845131,150.6856,112.1247,108.9699,1
tongue,1.295961,139.817153,139.701,107.7972,101.7914,1
tongue,1.329214,142.144548,149.7885,112.6895,108.6701,1
tongue,1.351572,143.052682,140.1691,103.7082,105.8056,1
tongue,1.351379,142.400635,140.9386,104.2924,101.765,1
tongue,1.334879,143.230851,158.1891,118.5045,115.8548,1
tongue,1.343675,142.809968,151.7401,112.9291,108.8725,1
tongue,1.284155,139.92649,149.9154,116.7424,109.3042,1
tongue,1.392962,143.740678,138.8805,99.7016,98.438,1
tongue,1.352525,141.680937,133.622,98.7945,95.4988,1
tongue,1.371897,142.820384,139.0163,101.3315,98.2227,1
tongue,1.37955,142.710757,137.6576,99.7844,95.3769,1
tongue,1.353646,142.972636,147.3976,108.8893,106.1469,1
tongue,1.429627,146.645569,155.7755,108.9623,108.307,0
